asset_id,batch,product,community,supply_date,status,quantity
ALLOC-SNOW-2026,ALLOC-SNOW,Stretch Bed,Canberra,,deployed,2
GB0-1,GB0-1,Basket Bed,Darwin,2024-10-28,deployed,1
GB0-10,GB0-10,Basket Bed,Kalgoorlie,2024-10-04,deployed,1
GB0-104-1,GB0-104,Basket Bed,Tennant Creek,2025-06-28,deployed,1
GB0-104-2,GB0-104,Basket Bed,Tennant Creek,2025-06-28,deployed,1
GB0-105,GB0-105,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-106,GB0-106,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-107,GB0-107,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-108-1,GB0-108,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-108-2,GB0-108,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-109-1,GB0-109,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-109-2,GB0-109,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-11,GB0-11,Basket Bed,Kalgoorlie,2024-10-04,deployed,1
GB0-110-1,GB0-110,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-110-2,GB0-110,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-111,GB0-111,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-112-1,GB0-112,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-112-2,GB0-112,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-114,GB0-114,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-115-1,GB0-115,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-115-2,GB0-115,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-115-3,GB0-115,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-116-1,GB0-116,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-116-2,GB0-116,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-118-1,GB0-118,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-118-2,GB0-118,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-119-1,GB0-119,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-119-2,GB0-119,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-12,GB0-12,Basket Bed,Kalgoorlie,2024-10-04,deployed,1
GB0-120-1,GB0-120,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-120-2,GB0-120,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-121-1,GB0-121,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-121-2,GB0-121,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-121-3,GB0-121,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-122,GB0-122,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-123,GB0-123,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-124-1,GB0-124,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-124-2,GB0-124,Basket Bed,Tennant Creek,2025-07-02,deployed,1
GB0-129,GB0-129,Stretch Bed,Tennant Creek,2025-06-28,deployed,1
GB0-13,GB0-13,Basket Bed,Tennant Creek,2024-10-04,deployed,1
GB0-130,GB0-130,Stretch Bed,Tennant Creek,2025-06-28,deployed,1
GB0-131,GB0-131,Stretch Bed,Tennant Creek,2025-06-28,deployed,1
GB0-134,GB0-134,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-14,GB0-14,Basket Bed,Palm Island,2024-11-04,deployed,1
GB0-140,GB0-140,Basket Bed,Mount Isa,2025-07-09,deployed,1
GB0-141,GB0-141,Basket Bed,Mount Isa,2025-07-16,deployed,1
GB0-142-1,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-2,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-3,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-4,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-5,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-6,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-7,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-8,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-142-9,GB0-142,Basket Bed,Palm Island,2025-08-05,deployed,1
GB0-144-1,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-10,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-11,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-12,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-13,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-14,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-15,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
GB0-144-16,GB0-144,Basket Bed,Tennant Creek,2025-08-05,deployed,1
