unique_id,id,name,product,community,place,gps,contact_household,paint,photo,number,notes,supply_date,last_checkin_date,created_time,qr_url
GB0-154-1,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,1,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-1
GB0-154-2,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,2,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-2
GB0-154-3,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,3,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-3
GB0-154-4,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,4,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-4
GB0-154-5,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,5,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-5
GB0-154-6,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,6,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-6
GB0-154-7,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,7,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-7
GB0-154-8,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,8,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-8
GB0-154-9,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,9,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-9
GB0-154-10,GB0-154,Pending Assignment,Washing Machine,Pending Delivery,,,,,,10,"Washing machine batch for communities",2025-12-03T00:00:00,,2025-12-03T00:00:00,https://goodsoncountry.netlify.app/?asset_id=GB0-154-10
